n,h,erro,ordem_p
2.0000e+00,1.0000e+00,-1.3761e-01,0.0000e+00
4.0000e+00,5.0000e-01,-1.2822e-02,3.4239e+00
8.0000e+00,2.5000e-01,-9.8249e-04,3.7060e+00
1.6000e+01,1.2500e-01,-6.8046e-05,3.8519e+00
3.2000e+01,6.2500e-02,-4.4777e-06,3.9257e+00
6.4000e+01,3.1250e-02,-2.8717e-07,3.9628e+00
1.2800e+02,1.5625e-02,-1.8182e-08,3.9814e+00
2.5600e+02,7.8125e-03,-1.1437e-09,3.9907e+00
5.1200e+02,3.9062e-03,-7.1669e-11,3.9963e+00
1.0240e+03,1.9531e-03,-4.4693e-12,4.0032e+00
2.0480e+03,9.7656e-04,-3.0909e-13,3.8540e+00
4.0960e+03,4.8828e-04,-1.0658e-14,4.8580e+00
