y,y+1,y+2,y_diff_rel
-139.47763176642988,-213.61994270729957,-223.8231487587938,2.8612745361219827
-213.61994270729957,-223.8231487587938,-224.43388951132522,4.062318622617734
-223.8231487587938,-224.43388951132522,-224.47130029506476,4.029034019091012
-224.43388951132522,-224.47130029506476,-224.4736256019039,4.00796118328359
-224.47130029506476,-224.4736256019039,-224.4737707290135,4.002032158043265
-224.4736256019039,-224.4737707290135,-224.47377979624798,4.000510633465523
-224.4737707290135,-224.47377979624798,-224.47378036290004,4.000127531712242
-224.47377979624798,-224.47378036290004,-224.47378039831491,4.000035964171696
-224.47378036290004,-224.47378039831491,-224.47378040052854,3.999872646001259
-224.47378039831491,-224.47378040052854,-224.4737804006667,4.002020464794127
